order_id,order_date,ship_date,customer_name,segment,country,city,state,region,category,sub_category,product_name,sales,quantity,discount,profit
ORD00021,2023-04-28,2023-04-29,Eduardo Lopez,Consumer,India,Bangalore,Gujarat,South,Office Supplies,Paper,Paper Pro,2941.68,9,0.28,408.91
ORD00022,2024-04-26,2024-04-30,Yesenia Mathis,Home Office,India,Ahmedabad,Karnataka,East,Office Supplies,Pen,Pen Max,643.44,10,0.07,107.8
ORD00023,2024-05-03,2024-05-06,Julie Ware,Consumer,India,Ahmedabad,Karnataka,North,Technology,Keyboard,Keyboard Pro,2009.14,5,0.14,639.02
ORD00024,2025-11-02,2025-11-05,Timothy Townsend,Corporate,India,Mumbai,Maharashtra,West,Office Supplies,Notebook,Notebook Max,705.66,6,0.26,208.64
ORD00025,2023-01-17,2023-01-23,Denise Morgan,Consumer,India,Mumbai,Gujarat,North,Office Supplies,File,File Plus,4094.67,5,0.28,-218.6
ORD00026,2024-03-07,2024-03-13,Thomas Shaffer,Consumer,India,Ahmedabad,Karnataka,East,Furniture,Sofa,Sofa Pro,1747.26,5,0.15,22.72
ORD00027,2023-09-25,2023-10-01,Christina Jackson,Corporate,India,Bangalore,Gujarat,North,Technology,Keyboard,Keyboard Pro,4900.0,3,0.22,726.46
ORD00028,2023-03-15,2023-03-22,Matthew Collier,Corporate,India,Mumbai,Gujarat,East,Office Supplies,Notebook,Notebook Plus,1877.62,9,0.04,-80.08
ORD00029,2023-07-30,2023-08-02,Theresa Armstrong,Consumer,India,Surat,Maharashtra,West,Office Supplies,Notebook,Notebook Pro,3911.58,7,0.29,928.08
ORD00030,2025-04-23,2025-04-30,Kylie Gonzales,Consumer,India,Delhi,Gujarat,West,Technology,Keyboard,Keyboard Plus,3366.04,4,0.08,856.05
ORD00031,2024-12-17,2024-12-20,Brittney Johnson,Corporate,India,Mumbai,Delhi,North,Technology,Monitor,Monitor Max,4111.66,4,0.07,810.06
ORD00032,2025-03-29,2025-04-04,Amber Haney,Corporate,India,Surat,Delhi,North,Furniture,Bookshelf,Bookshelf Pro,4906.69,9,0.1,-429.73
ORD00033,2024-12-08,2024-12-14,Leslie Walker,Corporate,India,Bangalore,Maharashtra,East,Office Supplies,Stapler,Stapler Pro,3942.82,7,0.18,513.12
ORD00034,2023-01-04,2023-01-09,Phillip Glass,Home Office,India,Surat,Delhi,West,Office Supplies,Stapler,Stapler Pro,4631.6,9,0.21,1496.56
ORD00035,2024-10-04,2024-10-10,John Williams,Corporate,India,Delhi,Delhi,South,Office Supplies,Paper,Paper Plus,4247.68,5,0.15,849.97
ORD00036,2023-12-23,2023-12-28,Luke Garrett,Corporate,India,Surat,Karnataka,East,Furniture,Desk,Desk Lite,2867.07,7,0.16,-286.18
ORD00037,2024-03-13,2024-03-18,James Bowen,Home Office,India,Bangalore,Delhi,North,Furniture,Desk,Desk Plus,2392.27,3,0.2,66.28
ORD00038,2024-04-05,2024-04-12,Deborah Huynh,Home Office,India,Ahmedabad,Karnataka,West,Office Supplies,Paper,Paper Plus,1035.69,1,0.01,355.0
ORD00039,2025-10-09,2025-10-13,Rebecca Martinez,Consumer,India,Delhi,Maharashtra,South,Office Supplies,Stapler,Stapler Lite,1257.72,1,0.27,361.21
ORD00040,2024-05-25,2024-06-01,James Rodriguez,Home Office,India,Bangalore,Delhi,West,Technology,Printer,Printer Lite,650.73,3,0.24,130.41
ORD00041,2023-11-22,2023-11-28,Ryan Jones,Home Office,India,Mumbai,Karnataka,South,Office Supplies,Stapler,Stapler Max,4314.4,8,0.08,48.57
ORD00042,2024-08-08,2024-08-10,Karen Hayes,Consumer,India,Surat,Karnataka,South,Furniture,Chair,Chair Plus,1394.99,6,0.27,-88.92
ORD00043,2025-04-14,2025-04-17,Joshua Hudson,Corporate,India,Bangalore,Gujarat,West,Technology,Monitor,Monitor Lite,2735.93,7,0.02,751.84
ORD00044,2024-09-03,2024-09-10,Leah Hayden,Home Office,India,Surat,Karnataka,South,Technology,Keyboard,Keyboard Max,1980.43,7,0.16,456.66
ORD00045,2023-03-01,2023-03-05,Denise Navarro,Consumer,India,Bangalore,Gujarat,West,Furniture,Desk,Desk Pro,1713.84,7,0.22,476.84
ORD00046,2023-10-05,2023-10-12,Anthony Lang,Corporate,India,Mumbai,Delhi,West,Technology,Monitor,Monitor Max,2335.41,1,0.08,110.49
ORD00047,2023-06-17,2023-06-21,Tanya Lee,Consumer,India,Ahmedabad,Gujarat,North,Furniture,Sofa,Sofa Plus,145.95,9,0.02,47.92
ORD00048,2023-11-09,2023-11-11,Justin Brooks,Home Office,India,Mumbai,Delhi,South,Technology,Laptop,Laptop Pro,674.79,2,0.17,-1.29
ORD00049,2023-08-10,2023-08-15,Caitlin Gonzalez,Corporate,India,Delhi,Maharashtra,North,Technology,Keyboard,Keyboard Plus,177.11,5,0.17,54.66
ORD00050,2023-09-05,2023-09-12,Lynn Flores,Corporate,India,Ahmedabad,Delhi,North,Technology,Keyboard,Keyboard Lite,4920.03,1,0.1,456.43
ORD00051,2025-06-06,2025-06-09,Paul Wolf,Home Office,India,Bangalore,Delhi,West,Furniture,Chair,Chair Lite,3196.15,8,0.21,306.73
ORD00052,2024-07-03,2024-07-06,Sheila Price,Corporate,India,Bangalore,Karnataka,East,Furniture,Bookshelf,Bookshelf Pro,4265.98,2,0.08,438.8
ORD00053,2024-01-08,2024-01-12,Robert Giles,Home Office,India,Mumbai,Gujarat,South,Furniture,Sofa,Sofa Pro,1099.99,5,0.1,325.76
ORD00054,2025-09-27,2025-10-02,Lori Fox,Consumer,India,Ahmedabad,Delhi,South,Technology,Monitor,Monitor Lite,3802.92,8,0.19,459.66
ORD00055,2024-09-19,2024-09-25,Steven Scott,Home Office,India,Bangalore,Delhi,East,Office Supplies,Notebook,Notebook Lite,2928.7,8,0.17,160.17
ORD00056,2024-05-29,2024-05-31,Mrs. Brenda Randall,Home Office,India,Surat,Maharashtra,South,Furniture,Sofa,Sofa Lite,647.25,4,0.09,151.65
ORD00057,2025-12-10,2025-12-15,Jennifer Boyer,Corporate,India,Surat,Delhi,North,Furniture,Bookshelf,Bookshelf Plus,1450.84,2,0.25,48.33
ORD00058,2023-04-22,2023-04-27,Vincent Martinez,Consumer,India,Ahmedabad,Delhi,West,Furniture,Chair,Chair Lite,1496.08,3,0.19,357.2
ORD00059,2024-01-13,2024-01-14,Rodney Sullivan,Corporate,India,Ahmedabad,Gujarat,South,Furniture,Sofa,Sofa Plus,1299.77,8,0.03,-91.76
ORD00060,2023-06-24,2023-06-26,Elizabeth Bauer,Consumer,India,Bangalore,Karnataka,West,Office Supplies,Paper,Paper Lite,636.34,7,0.18,162.8
ORD00061,2025-05-28,2025-05-31,Jennifer Gibbs,Consumer,India,Surat,Delhi,North,Furniture,Bookshelf,Bookshelf Plus,2864.72,1,0.18,667.59
ORD00062,2023-06-03,2023-06-05,Eric Marshall,Consumer,India,Surat,Delhi,East,Technology,Mouse,Mouse Lite,63.24,8,0.21,7.05
ORD00063,2024-06-25,2024-07-02,Kristen Morris,Corporate,India,Ahmedabad,Maharashtra,South,Technology,Mouse,Mouse Max,3966.68,10,0.2,1269.94
ORD00064,2023-05-03,2023-05-05,Janice Moore,Corporate,India,Delhi,Gujarat,West,Technology,Laptop,Laptop Max,3973.51,10,0.22,620.44
ORD00065,2024-07-11,2024-07-16,Matthew Mcneil,Corporate,India,Mumbai,Delhi,North,Office Supplies,Stapler,Stapler Pro,2722.91,8,0.02,-223.45
ORD00066,2023-02-12,2023-02-19,Bryan Sullivan,Consumer,India,Delhi,Karnataka,East,Technology,Printer,Printer Plus,3377.79,5,0.17,822.15
ORD00067,2025-10-04,2025-10-05,Scott Hunt,Consumer,India,Mumbai,Karnataka,West,Office Supplies,Stapler,Stapler Max,2376.55,7,0.1,479.02
ORD00068,2023-03-17,2023-03-21,Samantha Stephens,Corporate,India,Bangalore,Gujarat,West,Office Supplies,Stapler,Stapler Lite,485.9,5,0.1,163.55
ORD00069,2025-11-27,2025-11-30,Benjamin Ross,Consumer,India,Mumbai,Maharashtra,East,Technology,Mouse,Mouse Lite,3132.04,8,0.19,757.94
ORD00070,2023-09-06,2023-09-07,Andrew Cox,Corporate,India,Bangalore,Gujarat,West,Office Supplies,Stapler,Stapler Pro,4867.08,10,0.24,1067.85
ORD00071,2025-08-03,2025-08-04,Sue Morris,Home Office,India,Mumbai,Karnataka,West,Technology,Laptop,Laptop Lite,3256.16,3,0.15,724.4
ORD00072,2023-10-24,2023-10-28,Vanessa Henry,Consumer,India,Mumbai,Karnataka,East,Technology,Monitor,Monitor Max,993.52,10,0.15,293.78
ORD00073,2024-09-03,2024-09-10,Richard Stark,Corporate,India,Mumbai,Delhi,West,Technology,Keyboard,Keyboard Lite,2955.34,8,0.26,298.33
ORD00074,2024-05-04,2024-05-09,Tara Beck,Home Office,India,Delhi,Karnataka,South,Furniture,Table,Table Lite,1945.71,7,0.01,457.47
ORD00075,2025-10-25,2025-10-30,Richard Ramos,Home Office,India,Delhi,Gujarat,South,Technology,Mouse,Mouse Lite,1693.37,2,0.26,166.18
ORD00076,2023-06-03,2023-06-07,Nancy Gregory,Home Office,India,Ahmedabad,Delhi,West,Office Supplies,Notebook,Notebook Max,3918.55,5,0.1,829.62
ORD00077,2023-03-15,2023-03-20,John Griffin,Corporate,India,Ahmedabad,Gujarat,West,Office Supplies,Stapler,Stapler Plus,388.68,5,0.3,91.75
ORD00078,2023-03-01,2023-03-02,Mark Guerrero,Consumer,India,Surat,Karnataka,South,Office Supplies,Paper,Paper Plus,1655.65,1,0.09,113.71
ORD00079,2025-02-22,2025-02-27,Stephen Cooper,Corporate,India,Mumbai,Karnataka,East,Technology,Laptop,Laptop Pro,3431.52,8,0.27,-122.15
ORD00080,2023-11-20,2023-11-21,Michelle Myers,Corporate,India,Mumbai,Karnataka,East,Furniture,Sofa,Sofa Plus,2236.56,6,0.3,77.43
ORD00081,2023-08-07,2023-08-09,Lisa Lowe,Corporate,India,Ahmedabad,Karnataka,East,Furniture,Desk,Desk Pro,1937.75,6,0.17,671.84
ORD00082,2025-10-14,2025-10-21,William Evans,Corporate,India,Surat,Maharashtra,East,Office Supplies,Pen,Pen Plus,4525.57,5,0.23,16.08
ORD00083,2023-03-22,2023-03-25,Christian Black,Consumer,India,Mumbai,Delhi,West,Office Supplies,Pen,Pen Plus,3953.62,1,0.17,907.6
ORD00084,2025-01-19,2025-01-24,Kelsey Smith,Corporate,India,Mumbai,Delhi,North,Technology,Mouse,Mouse Lite,2533.88,5,0.25,39.62
ORD00085,2024-04-07,2024-04-14,Lisa Duncan,Corporate,India,Ahmedabad,Karnataka,North,Technology,Mouse,Mouse Max,3397.8,7,0.29,890.44
ORD00086,2025-07-20,2025-07-23,Nathaniel Smith,Corporate,India,Ahmedabad,Maharashtra,West,Office Supplies,Pen,Pen Pro,3380.5,5,0.18,913.03
ORD00087,2024-11-02,2024-11-07,Evan Atkins,Home Office,India,Mumbai,Karnataka,North,Office Supplies,File,File Plus,1145.77,2,0.19,124.8
ORD00088,2024-09-15,2024-09-19,Donald Adams,Corporate,India,Mumbai,Karnataka,South,Technology,Laptop,Laptop Lite,624.8,4,0.27,-24.34
ORD00089,2025-09-29,2025-10-04,Jillian Hudson,Corporate,India,Delhi,Maharashtra,East,Office Supplies,Pen,Pen Pro,2070.17,5,0.01,138.16
ORD00090,2025-01-04,2025-01-05,Nancy Davis,Corporate,India,Ahmedabad,Maharashtra,North,Office Supplies,Paper,Paper Pro,2020.79,4,0.29,660.91
ORD00091,2023-09-15,2023-09-22,Nicole Scott,Home Office,India,Surat,Maharashtra,East,Furniture,Table,Table Plus,2844.66,2,0.25,424.97
ORD00092,2024-07-21,2024-07-28,Christopher Guerra,Consumer,India,Ahmedabad,Maharashtra,North,Office Supplies,Pen,Pen Max,4920.94,3,0.16,1276.15
ORD00093,2024-10-25,2024-10-26,John Burton,Consumer,India,Ahmedabad,Karnataka,West,Technology,Printer,Printer Max,912.52,1,0.04,81.61
ORD00094,2023-08-12,2023-08-16,Mary Owens,Home Office,India,Bangalore,Delhi,West,Office Supplies,File,File Pro,2544.0,10,0.01,642.24
ORD00095,2025-04-02,2025-04-06,Robert Willis,Consumer,India,Mumbai,Maharashtra,North,Technology,Monitor,Monitor Plus,3446.18,8,0.21,343.25
ORD00096,2024-10-27,2024-10-31,Kristy Watson,Corporate,India,Ahmedabad,Gujarat,South,Furniture,Bookshelf,Bookshelf Lite,4973.41,9,0.09,634.1
ORD00097,2025-04-27,2025-04-30,Andrea Myers,Corporate,India,Mumbai,Delhi,East,Furniture,Table,Table Plus,4145.73,7,0.12,-237.18
ORD00098,2023-05-18,2023-05-19,Carlos Hunter,Corporate,India,Surat,Gujarat,East,Office Supplies,Stapler,Stapler Pro,4167.27,2,0.13,979.58
ORD00099,2025-05-16,2025-05-23,Jeffrey Jenkins,Corporate,India,Ahmedabad,Maharashtra,South,Furniture,Sofa,Sofa Lite,4583.43,1,0.29,780.03
ORD00100,2024-12-18,2024-12-25,Anna Hamilton,Corporate,India,Bangalore,Gujarat,East,Technology,Laptop,Laptop Pro,2803.51,2,0.23,443.92
ORD00101,2024-09-24,2024-09-27,Christopher Craig,Corporate,India,Ahmedabad,Maharashtra,North,Technology,Keyboard,Keyboard Pro,1787.57,3,0.26,276.8
ORD00102,2024-03-16,2024-03-20,Mary Diaz,Corporate,India,Bangalore,Gujarat,North,Office Supplies,File,File Plus,2128.17,6,0.05,85.63
ORD00103,2023-04-12,2023-04-18,Mr. Jonathan Alexander DDS,Corporate,India,Delhi,Delhi,South,Technology,Printer,Printer Pro,453.83,8,0.2,53.8
ORD00104,2023-08-16,2023-08-19,Donna Moon,Consumer,India,Surat,Karnataka,North,Furniture,Desk,Desk Pro,3407.18,10,0.15,682.15
ORD00105,2024-03-08,2024-03-15,Brianna Miranda,Corporate,India,Delhi,Maharashtra,South,Technology,Keyboard,Keyboard Lite,729.31,5,0.09,-33.55
ORD00106,2025-10-21,2025-10-26,Kayla Smith,Consumer,India,Delhi,Gujarat,West,Office Supplies,Notebook,Notebook Pro,4175.1,6,0.02,1201.57
ORD00107,2025-05-29,2025-06-03,Kathleen Jones,Corporate,India,Surat,Karnataka,East,Furniture,Bookshelf,Bookshelf Pro,2051.89,7,0.09,168.8
ORD00108,2024-05-13,2024-05-17,Cindy Norman,Home Office,India,Mumbai,Maharashtra,East,Furniture,Chair,Chair Plus,2964.91,9,0.02,864.97
ORD00109,2023-08-22,2023-08-27,Michael Brennan,Home Office,India,Surat,Maharashtra,North,Technology,Printer,Printer Plus,2574.26,6,0.11,852.6
ORD00110,2023-12-22,2023-12-27,Edward Holmes DDS,Corporate,India,Delhi,Karnataka,East,Furniture,Table,Table Max,806.71,2,0.05,199.89
ORD00111,2023-05-20,2023-05-24,Raymond Clay,Corporate,India,Bangalore,Gujarat,East,Technology,Monitor,Monitor Lite,2238.93,5,0.24,371.97
ORD00112,2023-04-27,2023-04-30,David Jones,Consumer,India,Bangalore,Karnataka,West,Furniture,Chair,Chair Pro,4166.9,2,0.19,1415.98
ORD00113,2024-01-21,2024-01-24,Patrick Singh,Consumer,India,Mumbai,Gujarat,South,Furniture,Bookshelf,Bookshelf Pro,3044.78,9,0.05,-219.7
ORD00114,2025-06-18,2025-06-23,Donna Novak,Corporate,India,Delhi,Delhi,North,Technology,Monitor,Monitor Max,2637.6,3,0.11,825.76
ORD00115,2023-07-13,2023-07-18,Sharon Reeves,Home Office,India,Surat,Delhi,North,Technology,Keyboard,Keyboard Plus,3407.98,5,0.08,965.16
ORD00116,2025-03-13,2025-03-15,Joseph Wood,Corporate,India,Surat,Gujarat,West,Furniture,Sofa,Sofa Max,2995.45,2,0.09,208.2
ORD00117,2024-09-24,2024-09-26,Haley Henry,Consumer,India,Surat,Maharashtra,North,Technology,Keyboard,Keyboard Max,4758.29,6,0.28,565.39
ORD00118,2025-12-14,2025-12-15,Daniel Gonzales,Consumer,India,Surat,Maharashtra,West,Technology,Printer,Printer Pro,3326.55,10,0.04,231.27
ORD00119,2024-05-01,2024-05-05,Laura Rodriguez,Corporate,India,Surat,Delhi,West,Furniture,Sofa,Sofa Lite,3072.45,8,0.07,23.43
ORD00120,2025-10-26,2025-10-31,Alex Pierce,Consumer,India,Mumbai,Gujarat,West,Furniture,Desk,Desk Max,2122.37,3,0.25,553.02
ORD00121,2025-11-22,2025-11-29,Kelsey Smith,Home Office,India,Surat,Karnataka,North,Office Supplies,Pen,Pen Plus,667.15,2,0.23,15.18
ORD00122,2023-02-24,2023-02-28,Monica Leblanc,Consumer,India,Mumbai,Maharashtra,North,Furniture,Sofa,Sofa Max,313.62,9,0.11,23.14
ORD00123,2023-10-27,2023-10-29,Ronald Barton,Home Office,India,Delhi,Karnataka,North,Technology,Keyboard,Keyboard Pro,239.6,8,0.21,-9.0
ORD00124,2024-03-17,2024-03-24,Felicia Johnson,Corporate,India,Surat,Delhi,North,Technology,Keyboard,Keyboard Pro,790.12,10,0.16,-39.48
ORD00125,2025-07-25,2025-07-26,Shaun Hunter,Home Office,India,Bangalore,Maharashtra,South,Technology,Monitor,Monitor Max,598.75,8,0.18,-55.45
ORD00126,2024-12-23,2024-12-25,Jamie Humphrey,Corporate,India,Ahmedabad,Gujarat,West,Furniture,Chair,Chair Lite,2874.79,3,0.2,-176.72
ORD00127,2025-02-03,2025-02-06,Amber Small,Home Office,India,Ahmedabad,Delhi,South,Technology,Monitor,Monitor Pro,3749.22,6,0.24,206.81
ORD00128,2024-11-24,2024-12-01,Mia Silva,Consumer,India,Surat,Gujarat,West,Furniture,Bookshelf,Bookshelf Pro,3231.84,8,0.29,372.76
ORD00129,2023-03-31,2023-04-07,Jesse Williamson,Corporate,India,Bangalore,Karnataka,East,Furniture,Table,Table Pro,1037.38,1,0.09,41.01
ORD00130,2024-08-08,2024-08-11,Dawn Hicks,Consumer,India,Mumbai,Karnataka,West,Office Supplies,Notebook,Notebook Lite,4317.59,1,0.26,213.14
ORD00131,2024-01-18,2024-01-22,James Pineda,Consumer,India,Delhi,Gujarat,West,Furniture,Sofa,Sofa Plus,3475.74,6,0.28,464.62
ORD00132,2024-10-19,2024-10-20,Miss Erica Chan,Corporate,India,Surat,Karnataka,East,Office Supplies,Paper,Paper Lite,446.34,5,0.09,76.4
ORD00133,2025-06-09,2025-06-12,Michael Brown,Corporate,India,Bangalore,Maharashtra,North,Technology,Keyboard,Keyboard Plus,3215.37,1,0.02,600.89
ORD00134,2023-03-13,2023-03-15,Guy Le,Consumer,India,Bangalore,Maharashtra,West,Office Supplies,Stapler,Stapler Max,382.81,6,0.11,125.28
ORD00135,2023-06-07,2023-06-12,Elizabeth Harris,Consumer,India,Ahmedabad,Gujarat,South,Furniture,Desk,Desk Lite,731.59,6,0.12,140.69
ORD00136,2023-08-30,2023-09-02,Michael Pratt,Home Office,India,Delhi,Maharashtra,North,Office Supplies,Stapler,Stapler Plus,3886.07,8,0.06,681.4
ORD00137,2023-12-20,2023-12-26,Keith Yates,Corporate,India,Mumbai,Gujarat,East,Technology,Monitor,Monitor Max,2253.3,2,0.24,755.76
ORD00138,2025-01-10,2025-01-15,Catherine Richardson,Corporate,India,Ahmedabad,Delhi,East,Technology,Mouse,Mouse Lite,1160.0,4,0.24,7.58
ORD00139,2023-06-26,2023-06-27,Marc Russell,Home Office,India,Ahmedabad,Maharashtra,East,Office Supplies,Notebook,Notebook Pro,1580.99,8,0.16,389.12
ORD00140,2025-11-25,2025-11-28,Sharon Morgan,Consumer,India,Delhi,Gujarat,North,Furniture,Desk,Desk Plus,685.26,9,0.19,-12.41
ORD00141,2023-11-28,2023-12-01,Linda Sherman,Corporate,India,Ahmedabad,Delhi,South,Furniture,Table,Table Max,4676.95,4,0.1,1512.56
ORD00142,2025-12-28,2025-12-29,Roger Matthews,Consumer,India,Bangalore,Delhi,North,Technology,Keyboard,Keyboard Pro,2537.74,3,0.18,409.31
ORD00143,2024-06-26,2024-07-02,Caleb Gibbs,Corporate,India,Bangalore,Delhi,East,Technology,Laptop,Laptop Lite,1093.5,10,0.12,205.08
ORD00144,2024-09-01,2024-09-05,Justin Johnson,Corporate,India,Surat,Delhi,South,Technology,Monitor,Monitor Max,411.22,1,0.05,35.79
ORD00145,2024-12-08,2024-12-12,Brandon Williams,Consumer,India,Delhi,Gujarat,East,Office Supplies,Paper,Paper Lite,697.29,6,0.15,-36.41
ORD00146,2023-07-18,2023-07-19,Robert Davis,Consumer,India,Mumbai,Delhi,South,Technology,Mouse,Mouse Plus,1486.55,7,0.26,131.06
ORD00147,2025-08-14,2025-08-18,Mr. Jason Cook DDS,Home Office,India,Delhi,Maharashtra,South,Furniture,Bookshelf,Bookshelf Max,4401.42,8,0.01,1432.02
ORD00148,2024-07-30,2024-08-03,Darlene Arellano,Consumer,India,Delhi,Maharashtra,East,Technology,Laptop,Laptop Max,3007.72,8,0.09,-289.7
ORD00149,2023-04-03,2023-04-07,Parker Salinas,Consumer,India,Delhi,Karnataka,East,Furniture,Sofa,Sofa Pro,303.23,9,0.06,45.17
ORD00150,2025-03-17,2025-03-20,Nicholas Stephens,Consumer,India,Surat,Karnataka,North,Technology,Laptop,Laptop Pro,3984.74,6,0.17,257.11
ORD00151,2024-11-13,2024-11-20,Tony Carey,Consumer,India,Mumbai,Delhi,South,Technology,Mouse,Mouse Lite,2395.03,8,0.04,723.08
ORD00152,2024-11-19,2024-11-24,Jodi Stephens,Corporate,India,Ahmedabad,Delhi,East,Office Supplies,Paper,Paper Pro,4150.03,9,0.15,636.27
ORD00153,2024-09-22,2024-09-29,Rachel Kelly,Home Office,India,Bangalore,Maharashtra,North,Furniture,Bookshelf,Bookshelf Lite,4498.9,1,0.18,87.68
ORD00154,2025-02-17,2025-02-19,William Lewis,Consumer,India,Surat,Gujarat,West,Technology,Printer,Printer Max,4117.22,4,0.01,1345.06
ORD00155,2025-04-25,2025-05-01,Samuel Andrews,Home Office,India,Ahmedabad,Maharashtra,South,Furniture,Table,Table Max,1059.26,9,0.23,332.86
ORD00156,2025-12-12,2025-12-16,Keith Castro,Home Office,India,Mumbai,Delhi,West,Office Supplies,Stapler,Stapler Plus,1603.08,3,0.14,224.28
ORD00157,2024-09-03,2024-09-05,Nicole Blanchard,Home Office,India,Delhi,Delhi,West,Technology,Keyboard,Keyboard Max,4710.35,5,0.23,1023.11
ORD00158,2024-08-12,2024-08-13,Dawn Hernandez,Corporate,India,Surat,Delhi,North,Office Supplies,Paper,Paper Max,2888.71,9,0.11,985.26
ORD00159,2024-12-10,2024-12-14,Cody Valentine,Corporate,India,Bangalore,Delhi,South,Office Supplies,Pen,Pen Pro,3297.06,8,0.06,898.71
ORD00160,2024-05-05,2024-05-07,Lisa Jenkins,Consumer,India,Delhi,Delhi,West,Office Supplies,File,File Pro,301.29,9,0.07,1.44
ORD00161,2023-01-11,2023-01-16,Shirley Long,Corporate,India,Delhi,Maharashtra,East,Office Supplies,Notebook,Notebook Max,4890.66,3,0.12,1568.75
ORD00162,2023-07-03,2023-07-09,Gary Parker,Consumer,India,Surat,Karnataka,South,Furniture,Chair,Chair Pro,2891.96,9,0.22,817.41
ORD00163,2024-01-17,2024-01-23,Andrew Murphy,Home Office,India,Bangalore,Gujarat,East,Furniture,Desk,Desk Max,4812.55,5,0.26,-461.19
ORD00164,2025-12-09,2025-12-13,Casey Foster,Consumer,India,Ahmedabad,Delhi,South,Furniture,Bookshelf,Bookshelf Lite,4451.84,3,0.26,492.42
ORD00165,2024-01-17,2024-01-18,Michelle Perez,Consumer,India,Bangalore,Karnataka,West,Office Supplies,Paper,Paper Max,3696.26,5,0.17,889.98
ORD00166,2023-07-15,2023-07-17,Frank Waller,Corporate,India,Delhi,Maharashtra,West,Technology,Monitor,Monitor Max,4909.34,8,0.1,57.05
ORD00167,2023-01-24,2023-01-27,Sheri Miller,Corporate,India,Surat,Karnataka,East,Furniture,Sofa,Sofa Pro,3285.73,4,0.02,-153.77
ORD00168,2025-01-22,2025-01-27,Zoe Diaz,Home Office,India,Mumbai,Karnataka,West,Office Supplies,Paper,Paper Plus,1143.2,3,0.14,119.74
ORD00169,2023-06-17,2023-06-22,Mary Moore,Consumer,India,Bangalore,Maharashtra,South,Technology,Printer,Printer Plus,2261.4,6,0.02,347.98
ORD00170,2025-06-23,2025-06-24,Peggy Blair,Corporate,India,Ahmedabad,Karnataka,South,Furniture,Bookshelf,Bookshelf Lite,3417.46,10,0.15,1040.62
